source_file,line,question,kg,representation,prompt_type,temperature_label,num_bridges,expected,got,exact_match,partial_match,complete_mismatch,precision_retrieval_rate,incorrect_fdr_rate,recall_hit_rate,miss_rate,f1_score
kgmulsel_temp0_nen_axiom_ttl.jsonl,1,"What hazard types are recorded for regions where cruises, expeditions, samples, or datasets are available?","gmo, kwg",axiom,0_shot,temp0.0,2,"gmo, kwg","gmo, kwg",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,2,"Which learning paths include modules about topics represented by cruises, expeditions, datasets, or physical samples?","currkg, gmo",ttl,0_shot,temp0.0,2,"currkg, gmo","currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,3,Which authors of media resources or publications are associated with hazard-related topics linked to geographical places?,"core_scholar_rich, currkg, kwg",nen,0_shot,temp0.0,3,"core_scholar_rich, currkg, kwg","currkg, kwg",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,4,What authors or departments are associated with publications about places connected to enslaved-person records?,"core_scholar_rich, enslaved",nen,cot,temp0.0,2,"core_scholar_rich, enslaved","core_scholar_rich, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,5,"Which learning paths include media resources about topics that also appear in publications about enslaved individuals, relationships, occupations, or historical events?","core_scholar_rich, currkg, enslaved",nen,0_shot,temp0.0,3,"core_scholar_rich, currkg, enslaved","currkg, enslaved",0,1,0,1.0,0.0,0.6667,0.3333,0.8
kgmulsel_temp0_nen_axiom_ttl.jsonl,6,What learning media resources cover topics related to enslaved individuals or historical slavery?,"currkg, enslaved",axiom,0_shot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,7,"Which personas, learning paths, media resources, topics, publications, authors, departments, enslaved individuals, locations, events, occupations, and relationships are connected?","core_scholar_rich, currkg, enslaved",axiom,0_shot,temp0.0,3,"core_scholar_rich, currkg, enslaved","core_scholar_rich, currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,8,"Which learning modules and publications cover topics linked to cruises that have vessels, organizations, samples, or datasets?","core_scholar_rich, currkg, gmo",nen,cot,temp0.0,3,"core_scholar_rich, currkg, gmo","core_scholar_rich, currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,9,"Which learning media resources reference topics, datasets, cruises, vessels, or samples represented in oceanographic cruise knowledge graphs?","currkg, gmo",axiom,cot,temp0.0,2,"currkg, gmo","currkg, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,10,"Which learning paths cover historical topics that can be linked to enslaved-person records by place, time period, demographic category, event type, and participant role?","currkg, enslaved",nen,0_shot,temp0.0,2,"currkg, enslaved","currkg, enslaved",1,0,0,1.0,0.0,1.0,0.0,1.0
kgmulsel_temp0_nen_axiom_ttl.jsonl,11,"Which cruises involved people or organizations that also appear in scholarly publications by publication type, field of study, or date?","core_scholar_rich, gmo",ttl,cot,temp0.0,2,"core_scholar_rich, gmo","core_scholar_rich, gmo",1,0,0,1.0,0.0,1.0,0.0,1.0
