source_file,line,question,kg,representation,prompt_type,temperature_label,cq_complexity,expected,got,TP,FP,TN,FN
kgsel_cot_temp0_nen_axiom_ttl.jsonl,1,What are all the damage details available done by tornado-specific hazards that are related to a geographical place within a certain temporal extent?,kwg,nen,cot,temp0.0,complex,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,2,What are all the available climate-specific attributes related to all geographical places?,kwg,axiom,cot,temp0.0,moderate,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,3,"What are all the documented skill categories associated with enslaved individuals, broken down by ethnic group, and their percentages?",enslaved,ttl,cot,temp0.0,complex,enslaved,enslaved,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,4,"Which persona is associated with which learning path, and what are the learning steps within that path?",currkg,nen,cot,temp0.0,moderate,currkg,currkg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,5,What are all the damage details available done by tornado-specific hazards that are related to a geographical place within a certain temporal extent?,kwg,ttl,cot,temp0.0,complex,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,6,"What identifiers are assigned to each vessel, platform, or cruise?",gmo,axiom,cot,temp0.0,simple,gmo,gmo,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,7,What authors are advised by which advisors?,corescholarrich,nen,cot,temp0.0,moderate,corescholarrich,corescholarrich,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,8,What are the media resources linked to multiple topics?,currkg,axiom,cot,temp0.0,complex,currkg,currkg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,9,What authors are advised by which advisors?,corescholarrich,ttl,cot,temp0.0,moderate,corescholarrich,corescholarrich,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,10,"What are all the available demographic attributes like population, household units, etc., associated with all geographical places?",kwg,nen,cot,temp0.0,simple,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,11,What agents work in or are associated with which departments?,corescholarrich,ttl,cot,temp0.0,moderate,corescholarrich,corescholarrich,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,12,"What people participated in each cruise, and what roles did they have?",gmo,nen,cot,temp0.0,moderate,gmo,gmo,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,13,What are all the available health-related concerns or attributes of all geographical places?,kwg,axiom,cot,temp0.0,simple,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,14,What are all available publications and their DOI values?,corescholarrich,ttl,cot,temp0.0,simple,corescholarrich,corescholarrich,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,15,Which authors have advisors and also submitted publications by each field?,corescholarrich,nen,cot,temp0.0,complex,corescholarrich,corescholarrich,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,16,"What are all the available earthquake hazards, their details, and their types?",kwg,axiom,cot,temp0.0,moderate,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,17,"What are any and all available hazards, their details, and when did they happen?",kwg,ttl,cot,temp0.0,simple,kwg,kwg,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,18,What are all available departments?,corescholarrich,nen,cot,temp0.0,simple,corescholarrich,corescholarrich,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,19,Which organizations sponsored the most cruises?,gmo,axiom,cot,temp0.0,complex,gmo,gmo,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,20,What are all the enslaved children recorded according to locations and time periods?,enslaved,ttl,cot,temp0.0,moderate,enslaved,enslaved,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,21,Which cruises have both temporal and spatial information?,gmo,nen,cot,temp0.0,moderate,gmo,gmo,1,0,0,0
kgsel_cot_temp0_nen_axiom_ttl.jsonl,22,What type or category is assigned to each cruise?,gmo,axiom,cot,temp0.0,simple,gmo,gmo,1,0,0,0
